name,rate,review_title,review_detail,https://www.amazon.com/Kobo-Touchscreen-Waterproof-Adjustable-Temperature/dp/B09HSRGZRL/ref=cm_cr_arp_d_product_top?ie=UTF8
J. Flood,5.0 out of 5 stars,A much needed upgrade!,"For the longest time, I really enjoyed reading books. I also loved collecting them, in grand hopes in the future i'd leap forward and read everything i've gathered. That started with a older first gen kindle (thing had ads!) and sadly after years I stopped using it and not getting back into it much. I still collected books, but never had that real 'push' to read.Gotta say, I think that's gonna change.I knew I didn't want a kindle and instead looking into alternatives that may open up more avenues for my types of reading I wanted to do. Kobo looked to be the second best in the market but honestly could have went either Clara or Libra and still be content with the purchase. The device is light, portable and feel very nice in my hands in any position. Gotta make sure that if I plan to be looking at this thing for hours that it'll be useable in different orientations without much stress. I do plan to check out more of the audiobook / Bluetooth and their bookstore functionality in the future so can't comment on much there for now.The one thing that also brought me to Kobo was that fact of how easy it was to get KOReader on it as an additional option for reading other types of file types. Now this isn't required at all to have a great experience, but i've used KOReader in the past and so i'm used to it but plan to try and switch between the default reader and KOReader to see what I like the most.Have KOReader is also nice as I can use OPDS to connect to my Calibre Web server I have hosted to grab new books whenever im ready for them.The only thing, if I had to be picky, is that the touch screen can be alittle fickle at times and lag or have some type oh ghosting but I believe that was due to being fresh out of the book as I haven't noticed much of that since.Already spend the last few nights really diving into this device, and as I said before, really happy with the purchase. If you're in a similar situation or mindset like I was/am I believe you'll love this purchase as well.",
Christian G.,1.0 out of 5 stars,Waste of money amazon scammed me,"I bought this thing, it arrives and I started the device and it crashed, I waste able to restart it, or anything then I sent it back using my own money become Amazon says they will refund me the cost of it, well they do not refund me anything they bacially robbed me, thanks Amazon",
Neighner,4.0 out of 5 stars,Can't use subscription services,"I ended up returning this because I could not use Kindle Unlimited or Scribd with it. And apparently their Kobo Plus subscription is not available in the U.S. Otherwise it's a great device.  I ended up getting an Onyx Boox Leaf 2 instead on Target's website using their store *debit* card for 5% off. The white version is what I got because it has a sunken screen which makes the text sharper. It is an Android e-reader, still e-ink, that has the ability to download the Play Store so I can use Audible, Kindle Unlimited, and Scribd on it. Or whatever app you want to download.",
J. LORENZO BORRAS,5.0 out of 5 stars,Great e-reader for EPUB format,"Great e-reader. Went from a Nook that was losing battery power by the day. So far this Kobo is way better. It’s not only that it has an extra inch in size, but it is easier to handle and to turn the pages. Very pleased so far.",
Andrew,5.0 out of 5 stars,A great e-reader that's a pleasure to use!,"Kindle library books aren't available on this device, but .acsm and .epub files are supported natively and Kobo has their own store for ebooks. The integration of Overdrive makes borrowing library books a seamless process. As for the hardware, the e-reader is comfortable to hold and has snappy buttons that makes turning pages a joy. I would definitely recommend this device to anyone interested in getting an e-reader outside of the Kindle ecosystem.",
Luis Alberto Perez piña,5.0 out of 5 stars,Let them buy it without fear.,I like that the battery lasts a long time and I can put the letters in any size. This pound charge is one of the best investments I have been able to make to develop myself and have more growth as a person and live a more pleasant life to be happy through the good books I can read.,
dsgd47,5.0 out of 5 stars,Nice ereader,I've had Kindles before but like this one better as it fits my hands nicely and is easy to turn the pages.,
kerbe,5.0 out of 5 stars,An excellent e-reader!,"This is my second Kobo device and I'm very pleased: The screen quality is magnificent and the battery life is out of this world. I love that this device doesn't restrict me to one ""bookstore"" and that I can side-load e-books that I already own or use it to read e-books that I've made, myself.Would I prefer a slightly larger screen (like my previous Kobo)? Yes. Is this screen too small? No. Do I prefer buttons to touch-screen? No. Do the buttons work well? Yes. Does the touch-screen work well? Yes. Do you need both buttons and touch-screen? No. Will I continue to purchase Kobo e-readers? YES!",
Miguel,5.0 out of 5 stars,Excellent! It's a joy to read!,"The settings are easy to use to make reading easy in all kinds of lighting. The black letters are crisp and stand out well. Syncs and updates easily with OverDrive & Libby. Easy one-hand operation. Only con so far is when reading in the dark I set refresh screen to every 10 pages. Wish I could turn off refreshes in the dark. Otherwise better experience than the 3 year old Kindle. The slightly larger screen is nice. Had I realized the size value I would have purchased the Kobo Sage 8 inch. Even so, the Kobo 2 physical page up/down are just perfect (except for the little click with each push). It's so easy to turn a page with my thumb without moving my hand or using my other hand. I really appreciate that!",
Oregon Aeronaught,5.0 out of 5 stars,Good upgrade,"Well, being as how my Kobo H20 eventually failed after 3-4 years, I like this upgrade very much and it seems to connect faster.  Battery seems good, but the slight upgrade is not much of a change.  Do spring for the Kobo cover....I tried three 'aftermarket' covers and sent them all back as the stand was too flimsy.  Be nice if Kobo had a better selection of 'fabric' and color for the covers.",
carol lubecki,1.0 out of 5 stars,Back to paper books. This showed me ereader is not ready for primetime.,"Works great when it works. i got this for library books only.Dislike:*missing books from the library's catalog (e.g. things i have taken out on libby do not appear on the kobo).*buggy. sometimes typing is incredibly frustating. it'll interpret my figure tap as several different keys all over the key pad.*sometimes it synchs with overdrive. sometimes it wont. no idea what to do. wait? come back in a few days? very frustrating. i think i'll get rid of it instead.*its kinda annoying how this is set up to push you towards for the kobo store. why do i have to log into walmarts website to set this up? i'm not going to buy books. i go this for the library books only.  but i have to jump through hoops to get there!Likes*good battery power.*i did like the e-reader reading experience more than i thought i would.*way better than reading on a tablet! easier on the eyesConclusion: this is not for me. i gave the ereader a try. back to books for me! i'll check back in a few years hopefully they will figure out how to make this technology work. the concept is promising, but its a clunky buggy piece of hardware that trys to push you to buy books from them.WARNING: amazon won't let you return this. it started acting buggy now and its too late to return. so be careful.",
Vaeh S.,5.0 out of 5 stars,WATER PROOF! GREAT BATTERY!!,"A month and a half worth of battery, easy on the eyes, wonderful to hold comfortably. Easy to sideload.",
Michelle Principato,1.0 out of 5 stars,Do not buy,This is horrible do not buy.  Won’t connect to apple earbuds so can’t hear audiobooks from KOBO. Called kobo customer service kept being put on hold and all they did is keep telling me to go items I already did.  Then they offered a replacement but then kept losing phone connection.Great to connect with library book but otherwise product not worth the money. Will return. So sad as I was excited for this gift,
Kevin,5.0 out of 5 stars,Quality of material,"Excellent item, it met all my expectations, good screen quality and the plastic feels incredible good quality",
Freda Powell,4.0 out of 5 stars,Love it!,"I really like the size. My hands get arthritic some days and this reader is the perfect size to hold. Larger than a cell phone, smaller than a hard cover book. VERY light weight with out a cover. It's the cover that makes it feel just a tad heavy. I can choose font, font size, brightness, and button management and a couple of other features I'm not sure how to use but overall a great product.",
Melody,1.0 out of 5 stars,Freezes all the time,The kindle is a much better ereader.,
Amazon Customer,5.0 out of 5 stars,"Kobo vs Kindle, kobo is the winner!","I have had kindle ereaders for years.  My latest kindle was the 2021 paperwhite. I did not like that it lacked page turn buttons, the home screen was horrible with it's book advertising, I found it hard to hold, and the entire operating system was difficult for me to navigate.The Kobo libra 2 solves all of those problems. The operating system is so easy to navigate.  I love the ease of holding it, the page buttons and it's automatic rotating screen. Those features help make long reading sessions much more comfortable. The home screen is beautifully organized. The screen shows only the information I want to see and is not a cluttered mess.  The overdrive feature is simply AMAZING and makes this 100 times better than the kindle. It is easy to use and saves me money on books.  I utilize my library like never before. I have heard of complaints that the kobo store doesn't have as many books available, I have not found a single book that I have wanted unavailable.  The prices of books in the store are similar to Amazon. This uses a USB-c charger (unlike the kindle oasis).  It is cheaper than the kindle oasis (the nearest equivalent kindle with buttons).Kobo does have a couple of shortcomings. It does ghost at times.  The battery power doesn't last as long as the kindle, but I have only used it with the wi-fi on. I'm not a fan of the fonts that are available, but I know that you can side load fonts.  I have not tried that yet. I would not say the fonts are horrible either, perhaps I've used a kindle for so long I am just used to those fonts.  I feel like the plastic cover/case could be upgraded as well.The Kobo is not perfect, but it is leaps and bounds better than the kindle. The overdrive feature, the home screen, and the easy to navigate operating system really is amazing. Kindle (at this time) doesn't compare at all.  I can't imagine going back.",
JoJo,2.0 out of 5 stars,Nice Product/Expensive Books,"Love the feel and use of the Kobo however, the price of books compared to Amazon are $3.00 to $6.00 higher.  Based on that, I will never purchase again.",
David,1.0 out of 5 stars,Arrived with several dead pixels and Customer Service did nothing,"The product arrived with some random pixels that are always white and they don't get black no matter what. I contacted customer service as soon as I could to let them know this and they did NOTHING, but insisted in having me ship the reader back. I told him that I could not, as I'm not currently in the US and not planning to return in a while. Also, shipping the item back from where I am would be more expensive than just get a new one, and he did not listened to me and just said ""then contact Kobo directly"". I know some of you would say ""then just get a new one"", but I'm stating here the fact that I got no resolution from this company.I purchased the reader from you, so the answer must come from you, don't you think? I'm really disappointed, and don't get me wrong. The Libra 2 is an amazing reader, but the damaged unit that I got and the awful customer service... I'm never buying again from this company BlueProton.",
Some Way,1.0 out of 5 stars,Only Audio Books--that are purchased from  KOBO will Function---No other Audio books work,"Purchased Clara 2E as upgrade as it also has Audio---Wireless feature.When I tried loading  Audio books from the Library --they would not download.Contacted Koko and they said-- Only audio books purchased at  Kobo can be heard on a  Clara 2E device. Kobo devices will only play in Audio from books are Purchased from Kobo. ( No exceptions)That information should be clearly printed on the outside of their packaging. "" Audio books only function when purchased from Kobo-- without Exception.'So I now download Audio books from the Library and listen to them by Bluetooth from my Phone.The Clara 2E was a wasted purchase as I already had a fully functioning eReader for text.",
YIANNA VARNAVA,5.0 out of 5 stars,An excelent ebook reader at a reasobable price,"This was a gift for my husband. I was considering Kindle but we wanted an easy downloadable format to be used in Cyprus. This Kobo is exactly what he wanted. Light, nice, easy to handle screen and with a huge memmory. He has already loaded tens of books.",
Sandra martinez,5.0 out of 5 stars,Was a Christmas gift,My daughter in law loves it,
James,5.0 out of 5 stars,The best e-reader,"This is excellent. I love that I can connect to my library and check books out directly from the tablet rather than from another device. The features are awesome, it works perfectly. I have no complaints",
That Guy,5.0 out of 5 stars,"For reading e-books, there's _nothing_ better","The Libra 2 hits a sweet spot in Kobo's development path of incremental hardware upgrades from the already outstanding Aura HD.  It has a perfect size and form factor, is lighter, and has a glorious screen. Except for some unneeded gimmicks on the home screen, the software works just right.  Sideloading is straightforward and uncompromised.With how much I love reading, I would gladly pay for the best product on the market at any price point.  This is the one.",
ernestav,1.0 out of 5 stars,Received,"It could never work, it was a disappointment to buy this e'reader. Personal from Amazon very friendly, they tried to help, but the e'reader was simply frozen and it was impossible to make it work. On the KOBO help page (chat) they didn't help at all, they just offered an apology for the inconvenience",
xxx,1.0 out of 5 stars,Browser,No manual. I needed to go to the browser so I could download Libby. apparently Overdrive is switching to Libby. Getting to browser  not intuitive. Bought because of screen size. I want my old stolen Kindle back.,
Mverovoy,5.0 out of 5 stars,"Bit heavy, but nice page turn buttons","I just wish it was lighter. Everything else is perfect for reading for turning pages. The software is pretty good. I like it better much better than Kindle, even though that maybe supposably developed more in some ways, but this one just does more it seems as you would expect, it’s very intuitive for this kind of reader it’s obviously not worse than a Kindle. I like it much better than the kindle but I didn’t have a kindle with the page turn buttons like the Oasis or something yet so I can’t speak about those, but as far as the paperweight  is concerned this one’s great…",
Amazon Customer,1.0 out of 5 stars,impossible to set up,I've spent 5 hours trying to set this thing up and have given up! It's going back to the amazon junk pile tomorrow. I don't know if it is defective but it won't connect to the internet even though it shows up on my network. The Kobo program I downloaded for my desktop had me create an account and now won't allow me to access it! What a piece of junk!,
Jannike Johnsen,1.0 out of 5 stars,"Difficult to use, may have gotten a lemon","The good:I love this device. The book is easy to hold, love the fact that there're no ads, power button is in a good spot, love the lighting, it's easy on the eyes, love that I can turn the page by clicking a button.I was able to get the books I had on Calibre that are in epub format loaded on to this device. I was able to sync books that were free from the Kobo store. These are the books I have been reading.The bad:There were no instructions that came with the device. It was trial and error and pushing a bunch of buttons and a long time spent trying to get Calibre and kobo dot com to all sync up since there were no instructions and I am no tech genius.I got this device for 2 reasons. 1. I wanted to not give any more money to Amazon than I needed to (even though I purchased it on here, but I was thinking books, etc). I also like the fact that it had imbedded overdrive so I could check out books, no ads, a button to turn pages instead of swiping, it came with a charger, and this ereader uses epub format so I could download books from other sources. 2. I love reading and have a millions books and am running out of places to store them so I am donating a bunch. I wanted to use overdrive and utilize my library instead of buying books.The problem is that even though I have been on overdrive on my laptop and borrowed books, I can't get the books onto the device. It doesn't sync to overdrive when I am on overdrive, or through the Kobo dot come website. The overdrive on the reader goes in an endless loop, having me input my library card information and pin number over and over again. I have tried signing in with the other options on there including google, using my phone number and the endless loop continues. I called customer support, which was less than helpful, the person was half asleep. I looked on the user guide for my device, also not helpful. If I can't use it for the purpose I spent all this money on, and can't get the support I need to get this dang thing to work, than it is a gigantic paperweight once I have read the few books I have on there and that is why it got 1 star. So I am going to return it and buy the kindle I was trying to avoid buying.",
Howard Co,4.0 out of 5 stars,Value for money  e-reader,Love it so far. A little slow on the PDF reading  but overall a wonderful product!,
Glub-Glub,3.0 out of 5 stars,"Works great, except for audio","I purchased this item, because I thought that it would be handy to be able to listen to audiobook, or to read the ebook. As a reader, this item is really quite good, and if that is what you want, it’s just fine. The reader is light and the letters are crisp. A bit of caution is that using the back light reduces the battery life, but that’s not too surprising .On the other hand, the audio function is a disaster. I downloaded a three audiobook set. Jumping to book 3, chapter 22 was so slow that I gave up. Actually, I’m not sure that it worked or can do that. My feeling is that the processed is not up to the task. You’re much better listening to an audiobook on a cell phone or a tablet.Moreover, a subscription for Kobo audio books is currently $9.95 a month and that’s not worth it wifi sluggish performance.A final issue is that the audio books and the ebooks do not automatically synchronize.",
Jon Turner,5.0 out of 5 stars,"A little larger than I thought, but still a great purchase","I was between this and the Kindle Paperwhite, but I’m happy that I got this one. The buttons on the side make it much easier for me to read one-handed, and it’s light so that helps too.Edit: This size is actually fantastic. You can also zoom in the text so it fits the size better, which makes reading comfortable! It’s a nice ergonomic shape so reading is convenient.",
JFin,5.0 out of 5 stars,Switching from Kindle,"Sorry Amazon. I am loving my new Kobo Libra 2. I have owned four Kindles in the past and they always seemed to have something lacking for me. I have the latest Kindle Paperwhite but somehow the touchscreen was at times either too sensitive or not sensitive enough and I got frustrated. I went back to using my ancient Kindle Keyboard since I liked the buttons for page turning but it was not backlit. I considered the Oasis but got so turned off by the cost, the mini USB and the extra $20 for no ads. I had heard about the Kobo Libra 2 and decided to try it when it was on sale.  Since I borrow e-books from the library a lot, it is so easy now. Love the page turn buttons and even the touch screen functions are not frustrating. Glad I made the purchase.",
Niko Artley,5.0 out of 5 stars,Love it!,"I love that it has physical page-turn buttons. The slight angle of the bit you hold is very nice, it gives easier access to the buttons and feels more like holding a book. Battery lasts a long time, and does not drain fast on standby. Sometimes the screen ""ghosts"" a little bit, but it clears up pretty quick.",
Katherin Marquez,5.0 out of 5 stars,Best purchase of the year,"I waited until Black Friday to buy my Kobo, because I thought the original was a bit steep. Now I think of something happened to mine, I'd immediately buy it again. Full price. It is THAT good. I don't even think I need to worry because it's very sturdy, and I purchased a case to keep it in my bag.The Kobo is amazing, the text is pristine and crisp, and it's so comfortable to hold. The buttons are very convenient, too, especially knowing that other brands who offer them, do it for a lot more money. I think the Kobo is currently the best option when it comes to ereaders, so it's worth every penny.Edit: it's been over a month and I'm still in love! I was swayed by the 7' screen and the fact that it's waterproof. I have pretty small hands (I'm 4'11''), so I was worried it'd be too big and uncomfortable to carry everywhere, but it's really not! It somehow looks bigger in pictures, but it's about the size of a paperback, only a little wider. It is pretty lightweight and I can read while holding it with one hand. You can switch up the button commands very easily, I do it a lot when going from holding with one hand to the other.As I said, I have freakishly small hands and I've had no issues so far, I think the size and weight are perfect! The only thing is that the cover does add some weight. I don't know how well they fare with bumps and being dropped (mine feels very sturdy but I worry about damaging the screen), but I keep mine in its case when I'm not using it because of the weight, and luckily I haven't dropped it over since I got it!It's been a joy to have it. I really think you should go ahead and take the plunge!",
Alyssa,1.0 out of 5 stars,"Annoying flashing screen, waste of money",Doesn't do anything a free library app on your phone can't already do,
JUAN PABLO RODRIGUEZ,5.0 out of 5 stars,Incredible,I bought it for my daughter's birthday and she loved it,
Olga,2.0 out of 5 stars,I am returning this piece of...electronics,"It froze twice within two days, does not reboot, when tap and hold does not show word translation.My dictionaries not available to use. IDK what I'm doing wrong but with my old 2 e-books never experience such problems.Very, very disappointed.One star for cover, I liked the design...But it is not about Kobo Libra 2 actually... Now have to trash the cover bc it is not refundable",
Michael Kinder,4.0 out of 5 stars,My preferred eReader,"Bought the Libra 2 to compare to the 2021 Kindle Paperwhite (PW).Pros:- Fast response: page turns often have no delay compared to 2021 PW- Format friendly: accepts more file types than Kindle does. Sideloaded a comic book that didn’t need reformated and reads flawlessly. Kindle forced the file to change file types and does not look as clean.- Buttons are great: the buttons are large enough and placed well that it is easy to change pages without adjusting my grip. Don’t want to use buttons? No problem!- Hold it however you want: hand getting tired? Flip the device around and hold it in your other hand. Or set it down in landscape mode. The screen and buttons will adjust to whatever orientation you need.- Read anytime: the screen’s brightness and warmth settings are crisp. Adjusting the brightness by sliding along the screen edge is intuitive and fast.Cons:- Dark mode: the PW has a quick and simple process for activating dark mode for nighttime reading. the Libra 2 is less intuitive. It should be an option under the brightness setting, but instead it’s on the second page of the general settings menu.- Gyro is hyperactive: sometimes just by tilting the device a little too far will cause the screen to autorotate. It can be a pain getting it to readjust to fit the orientation sometimes needing the device to be twisted different orientations before it finally responds. Note: there is an option to turn off autorotate.- Less desirable case: the official folding case does not work well as a stand. Because Kobo is not as popular as Kindle, the availability of third party alternatives is not as robust.",
Irish,5.0 out of 5 stars,EVERY deity's gift to bookworms!,"I love books. The feel, the smell, nothing beats opening a new book or rereading a beloved favorite for the twentieth time. However, books are heavy, and they take up a ton of space, which comes at a premium when you don't live in the local library/aren't allowed to line every wall with bookshelves by the significant other to make your place feel like a library.Enter ebooks. Yes, I know audio books are a thing and possibly even easier to use, but I read much faster than I listen, and even speeding up the reading I can finish multiple books in the time it would take to listen to the first audio book. So I started reading ebooks on my laptop, and moved to my tablet and phone. It was meh at best, and annoying to always have to drag a power cord for charging everywhere I went. It's also terrible for your eyes. But e-readers were barely better than the tablets, until e-ink technology arrived. But I still held off, until I finally started doing my research at the beginning of the year. Kindle seemed the only real choice, but I already had thousands of ebooks and it seemed a daunting task to figure out how to load them to a Kindle properly, and the thought of paying for a device that came with ads unless I paid even more just made me angry.So I bought a Kobo. And I fell in love. I've been using my Kobo for months, dragging it to work, on planes, to the beach, out to the pool, the local parks, on road trips, to doctor's offices, basically everywhere I go it's in my purse. The screen is easy to read in the brightest sunlight and the darkest nights when I can't sleep without finishing just one more chapter at barely 5% brightness, and the night mode makes the screen comfortably warm so the blue light doesn't bother me. I can easily get a week or more of reading between charges with the wifi turned off, and adding my own books from outside sources is a piece of cake. I can't speak for the audio book usability, but I have hundreds of books on my device with barely a dent in the available memory, and borrowing books from the library with Overdrive is a snap.The feel of the reader isn't a book, but it still feels solid without being heavy or awkward, and I love the buttons for turning the pages rather than being entirely touchscreen. The USB C also makes it easier to charge as most of my other electronics use the same type of cable.The only hiccup is in adding books from Barnes and Noble, as their file type is essentially unusable with anything not running their Nook software, but there are workarounds for everything.The magnetic screen off and on with the case I bought from Amazon is also great because I can close my book at any time without needing to find a bookmark or remember a page number.  I can also skip between books to my heart's content and I never need to worry about losing my place because the reader remembers where I am in every book!If you're on the fence about getting an e-reader for reading books, this is the one to try. If you want something that can also browse the internet or have multiple apps, buy a tablet. This thing is solid as a rock for the serious reader. You won't regret it!",
Amazon Customer,5.0 out of 5 stars,Great upgrade!,"I haven't had it long enough to rate the battery, but I'm sure it will last a long time like the Libra H20 that I have. This was on sale so I upgraded, and I am so happy that I did! The lighting is the main difference I see.  And wow is that nice! I did test out the Bluetooth with an audible sample and that works great, though I doubt I will use it, but ya never know. I do use pocket for articles, I did on my H20. Glad that's still there.  Its just a great reading experience and I am happy that I upgraded 😊",
Gina L.,3.0 out of 5 stars,Overdrive,"I bought this device mainly for borrowing library books. I'm a little disappointed. It connects to my overdrive account but appears to only allow you to use one library at a time? I have four libraries in my overdrive because they don't all have the same books. Someone here said you can log in and out putting your various library credentials in. What a pain. Also, I can access overdrive through the discover page and searching the Kobo store. But so far hitting ""borrow books from your library"" does not work for me. Smaller issues. Does not come with a user manual. It has two fairly useless papers in the box. The quick start guide says to turn on and charge. And the other paperwork is a battery warning and tells you to read the user guide, which isn't included. It is online.",
Brandon Kennedy,4.0 out of 5 stars,UPDATE: OverDrive integration now works,"UPDATE, Dec 2022: Upping my rating from two to four stars because the OverDrive-totally-not-working issue has been solved. I know because I ended up buying another one after returning the first in frustration. As others have noted, OverDrive still doesn't work very well when you have cards at multiple libraries. That aside, the device itself is a pleasure to read on, and if you manage your collection in Calibre, your 'Collections' categories transfer nicely to the Kobo.ORIGINAL:I really wanted to like this Kobo, but after hours of troubleshooting, the OverDrive integration still wouldn't work. Ease of use in borrowing library books was a key selling feature and a primary use for me, so I unfortunately had to return it.Pros: lightweight; comfortable; sharp screen with bright, even lightingCons: OverDrive integration is broken; interface can feel sluggish",
Amazon Customer,5.0 out of 5 stars,"Excellent product, super recommended","The size is perfect, the buttons are quiet (they make very little noise), the light can range from the dimmest to the brightest.",
Kathleen Kelleher,1.0 out of 5 stars,not worth it if you want to use your library card,"after an initial few months of using and loving my ereader, I am through with it. Overdrive won't sync or even load on the app, which leaves you with an option only to buy books. I bought this to intentionally use with overdrive, but the feature is dead. Don't buy it, just buy a kindle.",
N,1.0 out of 5 stars,Poor customer support,If I could give this zero stars I would. Their customer support is awful and my kobo is useless after a year. Buy a kindle instead,
