name,rate,review_title,review_detail,,,,https://www.amazon.com/PocketBook-Glare-Free-Eye-Friendly-Audiobooks-Adjustable/dp/B07KPLXZJ4/ref=cm_cr_arp_d_product_top?ie=UTF8
Christian N.,1.0 out of 5 stars,Defective after less than a year! Stay away!,"The reader was used 2 to 3 times a week for about 1 hour, was always equipped with the latest updates and worked perfectly until yesterday. Now the screen in the upper half is no longer readable. Transverse and longitudinal lines have formed. It looks like pencil marks have been blurred. Resetting the device did not result in any improvement. A lifespan of less than a year is simply unacceptable. Stay away. I myself have been using several versions of the Kindle for a long time and am very happy with them.",,,,
Ruhrpott Jesus,1.0 out of 5 stars,A computer image test winner... that probably says it all,"for expensive money you get an e-reader (my experiences, does not have to apply to everyone)- who has a far too nervous situation senor- whose ambilight is really painful for the eyes in contrast to the Tolino- reacts much too sluggish, despite a fast processor- whose ON/OFF switching is much too fiddly, from this strange flashing if you do not turn it off properly, quite apart - the buttons for turning are much too soft, besides they are very prone to fingertappers - the speech output is a bad joke - the sleep mode is bad until not working at all or the wake function is also available What positive? - Lots of memory- waterproof (but they are all now)- the Audiobook function is quite nice... but for a READER not urgently neededhave disposed of it today and again take my Tolino Vision 4 HD to hand and make a big bow around the pocketbook in the future",,,,
baer-bell,2.0 out of 5 stars,Changed software,"The software from Dienstbier was installed, account registration was impossible - several hours spent in vain. We would like to return the reade",,,,
Wilhlm U. Gertraud,4.0 out of 5 stars,Fast Shipping,Articles as described will gladly be returned,,,,
Holm Rudolph,1.0 out of 5 stars,"Caution, pocketbook reader not recommended!","I bought this reader about 1.5 years ago. In the meantime, there were always updates, the device had to be constantly reset, the Wi-Fi connection did not work, etc. Customer service could only help to a limited extent and after several explanations, because many at the other end of the line only understand German broken. In other words, this e-reader really cost me nerves, money and time. In addition, the connection to the regional bookstore did not work as desired, because the e-books can be purchased via the pocketbook shop or through a regional bookstore with connection to Pocketbook. I'm very disappointed with the device. Often the image or the actions on the touchpoint wobbled only with a delay. In sum, I can't recommend the device and pocketbook as a provider. You'd better look for a better device!",,,,
Nick,4.0 out of 5 stars,Formatting of epub sometimes confusing,"Paragraphs of epubs are clipped, page information is in the middle of the text. The resolution and speed of page build-up are pleasant.",,,,
Elena Ruiz,3.0 out of 5 stars,Locks,"When I received it I was very happy because it worked very well. The light was very comfortable and read all kinds of documents, but after 6 months it crashed and I couldn't get it to work again. I gave it back. The problem with this ebook is that it does not have the little hole that other products have to be able to reset them, so if it crashes nothing can be done.",,,,
SiLa,2.0 out of 5 stars,Unfortunately a failure,"Maybe we had a Monday device, but we weren't happy at all. The device has so many dropouts, reacts very slowly, sometimes not at all. He had problems with rented PDF photo mats. Absolutely unsatisfactory overall. We bought it after the Test.de report. Now we have switched to the competition (Tolino) and are absolutely satisfied.",,,,
Rüdiger Katzmann,5.0 out of 5 stars,Reader,"I had first a Kobo Glo which was not as fast and easy as this book, brightness is also great there is also a snooze light and switching the pages goes super fast, for quick readers there is also a shift key on it. Highly recommended",,,,
K. Weber,5.0 out of 5 stars,PocketBook e-Book Reader 'Touch HD 3,"A very pleasant part, if you have a lot to read or learn. Don'ttake up much space. And no one knows what you're reading right now. Very good, Premschön, sits well in the hand. Price performance are OK. There is also the software that you can write data on your own P.C. Study, Matura, Technical, etc.",,,,
Claudia Sehmer,5.0 out of 5 stars,"Beautiful, handy reader.","Fast delivery, does what I wanted and works mostly well with the eLibrary. Hope it stays that way, my last two Tolino have had difficulties with that more often.",,,,
Jean Baptiste Landen,1.0 out of 5 stars,No recent books available in French,"Uninteresting, by no means intuitive, no recent books in French, the only languages of use are Russian, German, and English!!! Brief and uninteresting user manual A user guide via a paid site at the modest price of... 49 euro!!! Strongly not recommended",,,,
Judit,3.0 out of 5 stars,Light but slow,"It's comfortable and light, but it's slow enough, books read well, but it's hard to load them, and then move them. It's the first one I have, I can't compare its fluidity with the rest of the models, so I give it a good note.",,,,
Leonid,5.0 out of 5 stars,great,good product,,,,
franc28,2.0 out of 5 stars,Slow,"A good ebook. On Android, Piccolo with keys but too slow to react. With touch menus that are not practical. I made the return. Tried scarce tolino, Kindle (why not ePub!!) , Onyx boox great but battery died after two years. I'm using Kobo 2 now. And I hope well...",,,,
Manu,4.0 out of 5 stars,All as described,Product is good!,,,,
A.P.,5.0 out of 5 stars,Good alternative for kindle,"Honestly cannot say anything wrong about it. If you need other ereader than kindle, go for it.",,,,
Sissi222,1.0 out of 5 stars,Not recommended!,"Gifted the device to my husband for Christmas, he has a Kindle, but he wants to get books from the lending library, which is not possible with Kindle. Unfortunately, the first device could not be switched on on the 2nd Christmas day. The swap device, unfortunately, does what it wants, turns the screen unintentionally, the touch screen reacts lame, very slowly to the Internet connection, and other bad features. All in all, very dissatisfied with the device. How the device performed so well in the test is a mystery to us. Unfortunately, the return period has been over a few days, otherwise it would definitely go back without a replacement...",,,,
Thomas K.,4.0 out of 5 stars,Good functionality,Partially slow response on inputs,,,,
María,5.0 out of 5 stars,Good e-book,"Very good visualization, good operation and I like the convenience of connecting Dropbox to transfer books, without the need for a USB connection.",,,,
ROBERTO,5.0 out of 5 stars,very satisfied,"Beautiful, sturdy and compact Combined with the fact that it supports “open” standards epub and pdf is perfect as an e-book, better than more emblazoned products, but closed on proprietary standards, large internal memory space, more than enough for a infinite library, headphone output so you can also listen to some music tunes. functional bluetooth to the pc connection to copy files.Very satisfied",,,,
Paupe,5.0 out of 5 stars,super,"Really great, for the first time, I gave it away... I'm going to buy one for myself!",,,,
Jackeline,5.0 out of 5 stars,I'm fascinated!,"After almost a week deciding to change my BQ Cervantes 3, I read a lot about all the best known in the market and on a forum I found many comments about this at least “less known” eReader and I really do not regret anything! It has all the features even more and better than Kindle and kobo, the screen is a great one! Ebook highly recommended!",,,,
Jose G.,3.0 out of 5 stars,👎 In the last update of the device I entered the Spanish Manual,"Correct delivery in time and form. The device complies with what it says. I just put a very big “but”, hard to understand that the User Manual comes in 20 languages, but that it doesn't come in Spanish. Hard to believe but it's like that",,,,
OKAPI,5.0 out of 5 stars,"Great fast device, small and handy with good brightness settings.","The device inspires!! Wonderfully fast response when operating, great brightness settings, even the other settings meet all requirements. Good little maces, fit nicely in a purse. Be sure to use with case to protect the screen.",,,,
cabrito,1.0 out of 5 stars,AUWEIA!,"The good reviews are veil to me, there will probably be 'turned'!The interpreter works incorrectly: no standards and norms are observed! Fonts embedded in an eBook don't interest the device! Even between Serif and Sans Serif fonts are not differentiated (if set: default)!Images are placed arbitrarily, only not in the right size and place.As a creator of eBooks, I can't do anything with this reader at all!The service is also more than questionable and extremely lame. The menu catastrophically nested.The device goes back immediately - a pity about the postage.",,,,
Ehrlich,3.0 out of 5 stars,independent device,but very slow and the software still has a lot of bugs.,,,,
Heidi Bastek,3.0 out of 5 stars,Warranty Claim,"The device can no longer be charged, how can we eliminate it??? ßAsk for information!!! likes Bastek",,,,
Cliente Amazon,5.0 out of 5 stars,Compatibility with all e-book formats,"I like almost everything, it's very comfortable to read and it's compatible with almost all formats.",,,,
Peter F,5.0 out of 5 stars,Perfect Book,The pocketbook Touch HD3 has many advantages for me because of the variety of file formats. I do not use the shops so often and prefer to create the reading material myself.,,,,
Birgit,5.0 out of 5 stars,Good backlight,"I'm really excited. Very good to read. Light weight, good size for holding. Easy to top up the books from the library. Position sensor for transverse and portrait orientation is very convenient, but can also be switched off if disturbed.",,,,
Amazon Kunde,5.0 out of 5 stars,Top e-Book Reader,"Fast delivery, goods flawless. The reader gets a clear purchase recommendation. The device is great. Easily transfer and read e-books",,,,
